50 500 1 40
31 17 9465
17 16 403
35 26 8705
31 12 8798
45 33 9079
24 10 5847
31 25 6682
41 12 6926
48 32 7364
50 19 6428
33 3 6921
27 1 5865
36 23 8111
24 13 809
42 15 4696
37 29 8069
50 40 6648
37 33 8448
41 1 9743
46 21 1082
41 2 7443
48 9 9662
39 18 2851
35 24 5705
41 23 6401
47 13 1091
9 5 5802
19 8 3997
24 12 4433
41 32 6277
18 17 6755
42 6 1205
49 47 5735
44 36 9902
50 25 1896
27 25 8457
14 4 7441
24 18 9538
40 27 1515
41 16 8208
7 3 3610
22 1 8152
40 36 3058
31 16 8722
48 7 2706
44 24 3581
12 9 6400
27 22 5169
24 4 4104
47 27 2453
40 14 8825
14 1 3067
39 11 2701
32 9 1817
32 13 764
31 8 2892
38 9 6118
37 28 8333
26 10 4874
38 30 6960
21 4 2974
41 34 2815
21 15 5154
41 8 1514
9 4 508
34 16 7200
24 15 3980
33 30 5615
18 2 5808
47 31 6060
45 1 3984
47 21 8126
43 11 5247
39 4 6473
32 16 6220
28 3 4825
43 13 8012
43 19 1552
43 28 9064
34 28 7355
41 40 2520
10 2 1122
49 44 5829
49 31 799
47 33 726
38 25 9749
45 37 1328
39 16 5513
19 11 338
16 10 4201
42 16 4850
42 23 9773
19 15 5678
25 6 1700
36 26 3061
25 8 5816
36 15 8754
48 18 3531
25 18 8557
40 38 5925
22 10 7770
46 4 8208
34 15 4518
44 11 7958
35 32 8970
32 28 873
47 39 3546
12 1 5688
37 34 6535
42 19 5982
38 10 2659
41 28 2329
41 3 5167
28 2 8437
45 18 2310
37 26 1975
38 35 1866
34 14 2706
29 15 7555
48 27 6954
46 25 6684
20 3 7867
44 38 7234
17 9 5198
36 24 3675
42 36 2795
45 44 9510
30 22 8858
23 4 9929
40 32 4009
41 6 829
30 25 8006
46 30 337
29 12 7737
43 10 2944
31 2 6334
27 4 8956
37 23 3893
48 38 6105
25 16 6251
48 31 1845
50 47 8870
34 8 745
28 27 2835
45 36 5119
31 22 7053
39 25 3084
41 33 922
46 14 8997
12 5 5500
26 21 8903
23 22 5576
10 4 5360
34 4 8780
22 11 2303
44 22 7934
32 1 3104
39 17 5356
34 3 1974
30 29 7659
33 31 906
21 7 4903
45 6 3554
48 13 2826
27 13 4097
29 10 4700
42 20 7915
5 2 5540
43 18 9562
6 3 4338
27 19 6733
15 13 8178
43 6 1764
46 2 134
44 10 2860
47 22 994
48 29 9983
33 10 5419
47 3 6118
38 13 5079
23 9 8649
45 28 1367
43 23 1214
45 32 5130
41 19 1425
36 32 5969
48 10 3417
46 1 1659
43 36 5570
32 10 7353
47 43 4877
50 45 910
28 15 6504
47 29 1970
40 22 6765
15 9 3655
28 17 5527
45 16 9004
20 7 8806
49 28 8683
44 33 4647
29 3 6102
29 25 167
37 11 9139
12 10 4922
30 15 217
18 16 4798
36 33 2786
25 22 2011
28 25 9258
50 2 9115
24 5 5648
43 32 5339
6 2 9499
47 17 3632
39 38 2629
43 1 3079
23 19 6451
49 9 4137
38 8 2008
43 34 2486
50 18 7214
45 34 4024
43 15 3406
19 10 1633
41 17 2166
31 9 4025
6 1 7805
44 5 5529
40 6 3881
24 2 1399
43 3 8149
31 3 1960
50 38 683
36 27 6519
46 13 1160
27 10 7637
45 40 3147
18 4 3344
19 2 278
46 12 8419
44 21 9338
44 43 1429
31 21 4607
11 2 7423
35 19 7528
46 38 3304
41 24 383
27 21 6965
43 26 1110
35 4 6289
50 33 8145
50 43 8912
